Player,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
Joe Mauer,April/March,21,19,85,80,9,18,4,0,0,8,0,0,5,6,.225,.271,.275,.546,22,4,0,0,0,0,0,.243,37,53
Joe Mauer,May,22,20,95,81,15,28,6,0,3,11,0,0,13,16,.346,.442,.531,.973,43,2,1,0,0,1,0,.403,142,161
Joe Mauer,June,26,24,103,94,10,27,7,0,1,11,1,0,9,19,.287,.350,.394,.743,37,1,0,0,0,0,2,.351,86,96
Joe Mauer,July,17,16,79,61,7,16,2,0,1,10,0,0,17,10,.262,.418,.344,.762,21,1,0,0,1,0,1,.294,91,108
Joe Mauer,August,28,26,121,107,15,36,8,1,1,12,1,0,11,15,.336,.405,.458,.863,49,6,2,0,1,0,3,.380,115,130
Joe Mauer,Sept/Oct,27,26,114,102,13,35,9,0,1,19,0,1,11,17,.343,.404,.461,.864,47,3,0,0,1,2,2,.400,116,136
Byron Buxton,April/March,22,20,78,68,6,10,2,0,0,1,3,0,9,29,.147,.256,.176,.433,12,0,1,0,0,0,1,.256,24,24
Byron Buxton,May,24,22,80,71,7,18,1,1,2,7,6,1,7,25,.254,.321,.380,.701,27,0,0,2,0,0,0,.364,94,88
Byron Buxton,June,28,25,93,87,9,16,3,0,2,6,4,0,6,26,.184,.237,.287,.524,25,1,0,0,0,0,0,.237,45,37
Byron Buxton,July,10,9,35,31,8,12,1,0,1,2,3,0,4,8,.387,.457,.516,.973,16,0,0,0,0,0,1,.500,171,160
Byron Buxton,August,29,29,116,105,22,34,3,2,8,22,8,0,5,27,.324,.354,.619,.973,65,0,1,3,2,0,2,.361,163,152
Byron Buxton,Sept/Oct,27,26,109,100,17,27,4,3,3,13,5,0,7,35,.270,.330,.460,.790,46,0,2,0,0,2,0,.387,117,112
Brian Dozier,April/March,22,22,101,91,12,22,5,0,2,8,5,2,10,16,.242,.317,.363,.679,33,3,0,0,0,1,0,.274,61,89
Brian Dozier,May,23,23,113,94,12,24,5,0,6,14,3,3,16,25,.255,.372,.500,.872,47,0,2,0,1,3,1,.281,104,132
Brian Dozier,June,29,28,127,116,13,29,7,0,5,13,2,0,10,22,.250,.315,.440,.755,51,3,1,0,0,0,1,.270,76,95
Brian Dozier,July,22,22,106,96,13,23,4,2,4,17,0,0,9,34,.240,.311,.448,.759,43,1,1,0,0,1,1,.328,77,100
Brian Dozier,August,29,29,136,116,27,37,4,1,9,22,4,1,18,22,.319,.419,.603,1.023,70,1,2,0,0,1,1,.329,138,168
Brian Dozier,Sept/Oct,27,27,122,104,29,32,5,1,8,19,2,1,15,22,.308,.402,.606,1.007,63,3,2,0,1,0,0,.320,134,170
Eddie Rosario,April/March,22,22,86,82,8,22,2,0,2,8,1,0,3,16,.268,.294,.366,.660,30,3,0,1,0,0,1,.313,62,83
Eddie Rosario,May,25,22,86,78,12,21,5,2,3,7,0,3,5,16,.269,.310,.500,.810,39,0,0,2,1,0,0,.300,93,113
Eddie Rosario,June,25,21,85,79,13,23,3,0,5,9,1,1,6,19,.291,.341,.519,.860,41,2,0,0,0,0,0,.327,106,121
Eddie Rosario,July,23,22,92,84,9,27,11,0,1,10,2,1,7,17,.321,.370,.488,.858,41,0,0,0,1,0,0,.388,109,127
Eddie Rosario,August,29,29,124,114,22,35,7,0,9,25,1,1,7,20,.307,.339,.605,.944,69,3,0,0,3,1,1,.295,123,144
Eddie Rosario,Sept/Oct,27,27,116,105,15,29,5,0,7,19,4,2,7,18,.276,.313,.524,.837,55,2,0,1,3,0,1,.265,99,122
Minnesota Twins,April/March,227,23,879,770,101,186,39,2,20,98,12,2,102,179,.242,.331,.375,.707,289,19,3,1,3,2,4,.289,86,97
Minnesota Twins,May,269,26,1030,908,125,236,51,5,37,120,14,9,103,235,.260,.337,.449,.786,408,9,6,5,8,6,5,.309,104,110
Minnesota Twins,June,303,29,1079,990,123,241,44,0,37,118,17,4,83,239,.243,.305,.400,.705,396,21,4,2,0,6,10,.286,84,83
Minnesota Twins,July,256,25,991,868,120,226,53,4,18,111,13,3,102,225,.260,.343,.393,.736,341,12,11,3,7,3,13,.329,93,97
Minnesota Twins,August,302,30,1153,1015,177,284,49,11,50,170,22,4,106,228,.280,.351,.498,.849,505,26,12,8,12,4,13,.312,120,123
Minnesota Twins,Sept/Oct,328,29,1129,1006,169,271,50,9,44,164,17,6,97,236,.269,.337,.468,.805,471,18,10,7,9,5,6,.309,109,116